NativeCountry,GDP_PC,Union
United-States,29967.71272,
Cuba,2282.39,
Jamaica,6243.324166,
India,1741.084334,
Mexico,9076.087735,
South,14433.0009,
Puerto-Rico,19640.50272,
Honduras,2389.196007,
England,21760.00854,
Canada,23962.49945,
Germany,24109.58982,
Iran,9488.517338,
Philippines,3057.485347,
Italy,22968.13414,
Poland,8254.596495,
Columbia,6539.866367,
Cambodia,841.33893,
Thailand,7314.035685,
Ecuador,5730.989219,
Laos,1581.560406,
Taiwan,13650,
Haiti,1293.354067,
Portugal,14902.56408,
Dominican-Republic,5111.460783,
El-Salvador,3960.385259,
France,21331.45043,
Guatemala,4202.790221,
China,2074.36167,
Japan,24515.11628,
Yugoslavia,5095.070661,
Peru,4636.047521,
Outlying-US(Guam-USVI-etc),29967.71272,
Scotland,21760.00854,GB
Trinadad&Tobago,10264.53587,
Greece,16129.25314,
Nicaragua,2267.025546,
Vietnam,1575.959633,
Hong,24070.36059,
Ireland,20479.16734,
Hungary,9340.533768,
Holand-Netherlands,24484.18112,
